,Unnamed: 0,Country,Percent_Obese,GDPper_cap,Insufficiently_active,Education,Region_Africa,Region_Arab_States,Region_Europe,Region_Asia,Region_Oceania,Region_Latin_America,Region_CIS,Globalization_index,Urbanization_Rate,Urban_Population,Imports,log(Imports),log(Imports)*Asia,Asia*Urbanization,UrbanPop*ArabStates,Asia*Globalization,Urbanization*GDPpercap,Europe*GDPpercap,log(GDPper_cap),Asia*UrbanPop,ArabStates*Globalization
101,101,Belize,22.5,8200,32.4,0.6890000000000001,0,0,0,0,0,1,0,54.46,1.93,44.0,895500000.0,20.612892779465042,0.0,0.0,0.0,0.0,17.392946606177023,0,9.011889433252344,0.0,0.0
102,102,Guyana,22.9,7900,32.4,0.5820000000000001,0,0,0,0,0,1,0,53.6,0.76,28.6,1440000000.0,21.08790895053432,0.0,0.0,0.0,0.0,6.820709709225886,0,8.974618038455112,0.0,0.0
103,103,Guatemala,18.6,7900,13.3,0.484,0,0,0,0,0,1,0,63.17,3.4,51.6,16760000000.0,23.54226093200035,0.0,0.0,0.0,0.0,30.51370133074738,0,8.974618038455112,0.0,0.0
104,104,Philippines,5.1,7700,15.8,0.61,0,0,0,1,0,0,0,64.08,1.32,44.4,60950000000.0,24.83331969287369,24.83331969287369,1.32,0.0,64.08,11.812647802351146,0,8.948975607841776,44.4,0.0
105,105,Angola,10.2,6800,20.9,0.474,1,0,0,0,0,0,0,42.56,4.97,44.0,19670000000.0,23.70236046934738,0.0,0.0,0.0,0.0,43.85864911908606,0,8.824677891164198,0.0,0.0
106,106,India,4.9,6600,13.4,0.473,0,0,0,1,0,0,0,56.77,2.38,32.7,402400000000.0,26.72071245573194,26.72071245573194,2.38,0.0,56.77,20.93168332867455,0,8.794824928014517,32.7,0.0
107,107,Nigeria,11.0,5900,22.3,0.425,1,0,0,0,0,0,0,54.99,4.66,47.8,36400000000.0,24.317834611589106,0.0,0.0,0.0,0.0,40.46141755530516,0,8.68270762989381,0.0,0.0
108,108,Samoa,43.4,5500,16.2,0.7020000000000001,0,0,0,0,1,0,0,46.73,-0.24,19.1,325300000.0,19.600258391443578,0.0,-0.0,0.0,0.0,-2.067000809092935,0,8.612503371220562,0.0,0.0
109,109,Nicaragua,17.1,5500,32.4,0.484,0,0,0,0,0,1,0,60.68,1.96,58.8,6039000000.0,22.521504272272175,0.0,0.0,0.0,0.0,16.880506607592302,0,8.612503371220562,0.0,0.0
110,110,Tonga,43.3,5400,21.6,0.72,0,0,0,0,1,0,0,42.88,0.71,23.7,288200000.0,19.479165241529696,0.0,0.0,0.0,0.0,6.10184950511218,0,8.594154232552366,0.0,0.0
111,111,Honduras,18.2,5300,32.4,0.505,0,0,0,0,0,1,0,61.71,3.14,54.7,11250000000.0,23.14363396559684,0.0,0.0,0.0,0.0,26.926950992556268,0,8.575462099540212,0.0,0.0
112,112,Pakistan,5.4,5100,26.0,0.3720000000000001,0,0,0,1,0,0,0,52.53,2.81,38.8,38250000000.0,24.367409397218957,24.367409397218957,2.81,0.0,52.53,23.988958250581895,0,8.536995818712418,38.8,0.0
113,113,Ghana,12.2,4400,15.6,0.5529999999999999,1,0,0,0,0,0,0,57.6,3.4,54.0,13730000000.0,23.34284905672629,0.0,0.0,0.0,0.0,28.5238233876816,0,8.389359819906353,0.0,0.0
114,114,Sudan,7.5,4400,20.9,0.306,0,1,0,0,0,0,0,38.05,2.54,33.8,9345000000.0,22.958107277853937,0.0,0.0,33.8,0.0,21.308973942562137,0,8.389359819906353,0.0,38.05
115,115,Mauritania,9.7,4300,45.1,0.35200000000000004,0,1,0,0,0,0,0,53.91,3.54,59.9,1643000000.0,21.219789676001543,0.0,0.0,59.9,0.0,29.616950867953054,0,8.366370301681654,0.0,53.91
116,116,Zambia,8.9,3900,20.5,0.591,1,0,0,0,0,0,0,56.19,4.32,40.9,6752000000.0,22.633104594240066,0.0,0.0,0.0,0.0,35.720921514748625,0,8.268731832117737,0.0,0.0
117,117,Bangladesh,3.6,3900,26.8,0.447,0,0,0,1,0,0,0,45.54,3.55,34.3,39170000000.0,24.391176984624153,24.391176984624153,3.55,0.0,45.54,29.353998004017967,0,8.268731832117737,34.3,0.0
118,118,Cambodia,3.2,3700,10.3,0.495,0,0,0,1,0,0,0,56.67,2.65,20.7,12320000000.0,23.234489795051786,23.234489795051786,2.65,0.0,56.67,21.772633461375637,0,8.216088098632316,20.7,0.0
